"GM is bringing back the #Hummer in a new electric form with 1,000 horsepower and the ability to accelerate from zero to 60 miles per hour in 3 seconds.",1,0,7,,0,0,1
Medical teams from across China have rushed to Wuhan to aid the #coronavirus control. #pneumonia,1,0,7,,0,0,1
"It's gonnna be some babies made this week...Tropical Storm, no power for 27+ hours, & the liquor store is packed.",1,0,1,,0,1,1
The hurricane center is tracking a center of rotation some time to day we expect to have a developing tropical storm off the coast of Louisiana and head for rhe weast coast of Florida,1,0,6,,0,0,1
"Tropical Storm Imelda destroyed our home in Hunters Ridge, Kingwood, Texas, first time it ever flooded here, we lost everything ",1,1,6,,1,0,1
Tropical storm Patricia is brewing...,2,1,6,,0,0,0
"North Carolina transportation official on road conditions during Tropical Storm #Florence: ""Roads open today may be closed by this afternoon.""",1,0,5,,0,0,1
Governor of Texas says new tornado warnings expected for tonight and 250 roads closed in the state so far due to tropical storm 'Harvey',1,0,5,,1,0,0
Rising flood waters form tropical storm Rosa have closed many roads in Hidden Valley. #Fox10phoenix,7,1,5,,1,0,1
"tropical storm means slow wifi or no wifi at all, which is worse than having no school btjm",1,0,2,,0,0,1
Welp. Dead wifi. Cant access needed sites. Limited processing power. Tropical storm. No offense #FullSail but I am out of hw options now.,1,1,2,,1,0,1
Stuck in a hotel room.... No Wifi. There is a tropical storm outside. Help me... Im spooked.,1,0,2,,1,0,0
lots of power outages from the tropical storm so if y’all don’t hear from me that’s why. i have spotty wifi but no LTE. if anything exciting happens write it down to tell me monday. love y’all!,1,0,1,2,1,1,0
Im relying on my wifi here guys cuz this damn tropical storm has hit me I've got no service and wifis goingnin and out)),1,0,2,,1,0,0
"Happy New Year to my new followers & loyal supporters from NZ ! Sorry it's late but we've been travelling no signal, wifi & tropical storm !",1,0,2,,1,0,0
N the middle of no where during this tropical storm no service n my room niether but WiFi is n full effect,1,0,2,,1,0,0
"With tropical storm Karen expected to impact eastern Puerto Rico this week, a mother in San Juan just sent me this video: “How are we supossed to get ready for Karen if there is no good water to wash or to collect for me to bath my baby? And my son to drink?” ",1,0,3,,1,0,0
Didn't I tell y'all central Floridians this was gonna be a tropical storm? But nah y'all wanna buy 30 cases of water for no reason,1,0,3,,0,0,1
"Schools, roads, and offices are closed across the area due to the threat of Tropical Storm Harvey. https://buff.ly/2vr8glj",1,1,5,,1,0,1
Tropical Storm gone - No power yet & now no water - interesting times - but we have chocolate.,1,1,1,3,1,1,1
no one swarms like gaston water's warm like gaston no one is a tropical storm like gaston,1,1,7,,0,0,0
"The tropical storm is no joke. The water is up to my knees, like the ocean and I have become one",1,0,6,,1,0,0
Still dealing with the after effects of Tropical storm Gonzalo: no electricity and no water,1,1,1,3,1,1,1
That light pole was straight before the tropical storm. Still no power. http://twitpic.com/1uvt02,1,1,1,,1,1,1
"Storm is hitting us here in FL! We have no power, food, roof or windows only because I’m standing outside right now. LOL. We good FAM. (Knock on wood) Everyone stay safe during the tropical storm.",1,1,1,,1,1,1
If we somehow finesse out of this hurricane with only tropical storm winds and no power outage then that's a victory in my book...,1,1,1,,0,1,0
Live From Miami : Tropical Storm Rain...No Power...High winds...Love it !!!,2,0,1,,1,0,0
"on my first nights in an apartment alone i would end up in a random ass tropical storm, with no power",1,0,1,,1,1,0
"“Tropical storm Pablo, has no match to the power of our prayers :)”",1,1,6,,0,0,0
wow you dont realize how busy and loud the world is until you're stuck in a tropical storm with no power,1,1,1,,1,1,1
,,,,,,18,29
,,,,,,0.382978723,0.617021277
,,,,,,,
,,,,,,0.5,500
